num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
1136	0.0106387583748556	0.703587077338523	42	217	0.9281028371338	213			18.6449999999995	-0.000344742750079029		0.697000000000116	infill_ei	1.07099999999991	0.000801237352268413	0.930346736646692	233
2044	0.0257439043975818	0.703944699139898	1453	313	0.928077367980155	136			36.855	-0.000857780315502428		0.360000000000127	infill_ei	0.869999999999891	0.00179981860062473	0.9302173222912	156
977	0.0101029441522758	0.843969879575069	72	321	0.928059533487046	124			16.4859999999999	-0.000910868164831854		0.411999999999807	infill_ei	0.84900000000016	0.0039312222906197	0.928395122562119	144
2035	0.0105223492509188	0.430273562673839	1538	374	0.928020509099539	129			35.317	-0.000895307327498038		0.342999999999847	infill_ei	0.842999999999847	0.00272377886805143	0.929546394697865	149
1316	0.0520259358828126	0.245923082373639	8	229	0.927938686337737	244			12.299	-0.000582741202669609		0.951000000000022	infill_ei	1.25	0.00145192548188305	0.930304740969729	264
1103	0.0108417031176436	0.93845908609408	1088	221	0.927922199471475	150			22.2669999999998	-0.000501922464873256		0.552000000000135	infill_ei	0.920999999999822	0.00293000453871317	0.928567690797401	170
1311	0.0101814810687373	0.785570259819972	331	328	0.927889865411372	189			19.1039999999998	-0.000164954913877803		0.766999999999825	infill_ei	1.00799999999981	0.00116174079844848	0.929480239310484	209
1195	0.0103222135440982	0.542334888549466	8	130	0.927861240356608	138			14.0830000000001	-0.00103529109984151		0.385000000000218	infill_ei	0.871000000000095	0.00345620997948842	0.929201127501067	158
1305	0.0438086032426678	0.536699925399622	1391	293	0.92786039100145	249			23.1309999999994	-0.000353245469186105		0.788000000000466	infill_ei	1.17300000000068	0.00134475676942071	0.929879885313415	269
2048	0.0115562525052481	0.969302833659285	1250	314	0.927855246614204	83			35.048	-0.00239620779510525		0.167000000000144	infill_ei	0.714999999999918	0.0065053147185818	0.929544945249423	103
2015	0.0106426066906798	0.298902455023933	112	163	0.927851405997001	274			37.3240000000005	-0.000449529803600239		1.19899999999961	infill_ei	1.24799999999959	0.00115710011224586	0.930273363363435	294
1133	0.0386105256837081	0.984577622037001	750	396	0.927834391497508	132			17.156	-0.000703806971784493		0.331000000000131	infill_ei	0.859999999999673	0.00401969488494858	0.927634168800173	152
2047	0.0313851162401917	0.441401108765822	23	295	0.927817816506812	56			31.4179999999999	-0.00368665898041369		0.133000000000038	infill_ei	0.6400000000001	0.00887890162178557	0.930238561670999	76
1301	0.0152116754586358	0.773031896474748	8	56	0.927793283560163	239			10.9409999999998	-0.000357472036865452		1.24699999999939	infill_ei	1.14400000000023	0.00150841962656168	0.929722741376862	259
2044	0.0101587677898873	0.785319336309136	287	418	0.927782673041503	94			30.9360000000002	-0.00172871591492451		0.200000000000045	infill_ei	0.747000000000071	0.00607918563335933	0.928403402102389	114
1285	0.104965962168272	0.672106980981429	1310	239	0.927774151350196	195			23.8440000000001	-0.000239235160824863		0.748000000000047	infill_ei	1.02500000000009	0.0018872263804572	0.928845185357899	215
1395	0.0635325675849932	0.909025552982627	1064	311	0.927757725043269	210			22.5360000000001	-0.000199629959434117		0.664000000000669	infill_ei	1.07500000000073	0.00149458054128684	0.929192538138435	230
1429	0.0102022372684828	0.613287727364002	8	320	0.927743857395388	258			13.4589999999998	-0.000258745687175687		0.793999999999869	infill_ei	1.19999999999982	0.00137399654082552	0.929567760749741	278
1890	0.010337249990919	0.791500430507177	959	102	0.927670979620395	102			61.9760000000001	-0.00194710458190219		0.296000000000277	infill_ei	0.784999999999855	0.00446667292076414	0.930274353811483	122
1285	0.0187021359001047	0.795926624415053	758	196	0.927665566433725	209			25.9409999999998	-0.000242730235644035		0.819000000000415	infill_ei	1.05599999999959	0.000975360877791522	0.929958325584979	229
2041	0.0103699784253746	0.670830009088549	2044	336	0.927636992787718	113			34.5160000000001	-0.0010920969367196		0.324000000000069	infill_ei	0.802999999999884	0.00532925227638431	0.927410152807917	133
1266	0.0142074652944506	0.826500877185892	1713	329	0.92763480981898	202			20.663	-0.000158076700342464		0.736999999999625	infill_ei	1.04799999999977	0.00198591286577852	0.928264453630101	222
1263	0.0102600403902781	0.300367980982152	259	296	0.927631074065487	152			21.1789999999996	-0.000611468556076397		0.402000000000044	infill_ei	0.929000000000087	0.00272890264812417	0.929155244537583	172
1895	0.0103959952168062	0.100937973628883	10	121	0.927597620724077	120			19.9499999999998	-0.00189109373328715		0.317999999999756	infill_ei	0.822999999999865	0.0059035874243643	0.928958311254784	140
1263	0.0323647499521188	0.917010820637258	12	300	0.927584888788195	247			12.0329999999994	-0.000465011820374581		0.751999999999498	infill_ei	1.16800000000057	0.00125880389052571	0.930221544973774	267
2048	0.0966740553335126	0.816417744478477	1820	421	0.927474419278081	201			29.6390000000001	-0.00027327873176916		0.572999999999865	infill_ei	1.04500000000007	0.00228479011113277	0.928463431686224	221
1837	0.0599652893956275	0.507544116002962	1176	326	0.927420263228583	88			34.7740000000001	-0.00194655282743691		0.163999999999987	infill_ei	0.729000000000042	0.00434675419064126	0.930362756904158	108
1781	0.0103192568130226	0.857240247984732	678	249	0.927316128771488	137			34.471	-0.000649132422592638		0.311999999999898	infill_ei	0.877999999999702	0.0024144504984004	0.929242087059928	157
1218	0.115072741646313	0.844655568815488	15	297	0.927244471877369	98			13.5170000000001	-0.00150193323421068		0.202999999999975	infill_ei	0.779999999999973	0.00566513783165772	0.928229290383986	118
